Matrix Size,Tile Size,Command,Instructions,Cache Misses,Elapsed Time
128,128,64,atlas,2473558,4939,0.006768689
128,128,128,atlas,3254586,5899,0.007205581
128,128,256,atlas,4825327,7773,0.007470768
128,128,512,atlas,7966827,11792,0.009474113
128,128,1024,atlas,14249846,19569,0.014728461
128,128,2048,atlas,26815846,35118,0.022673694
128,128,4096,atlas,51947842,66561,0.030688336
128,256,4,atlas,3351932,5924,0.006319075
128,256,8,atlas,3449340,6013,0.006780337
128,256,32,atlas,4041979,6776,0.007200692
128,256,64,atlas,4826458,7780,0.007448435
128,256,128,atlas,6404295,9773,0.009335038
128,256,256,atlas,9537652,13588,0.010932345
128,256,512,atlas,15820656,21342,0.014400958
128,256,1024,atlas,28386656,36931,0.021451483
128,256,2048,atlas,53518656,68491,0.031201393
128,256,4096,atlas,103782648,131234,0.051157033
128,512,4,atlas,6590588,9879,0.008604219
128,512,8,atlas,6785136,10268,0.008711738
128,512,32,atlas,7967955,11701,0.008620311
128,512,64,atlas,9541694,13550,0.010394582
128,512,128,atlas,12687276,17505,0.013296673
128,512,256,atlas,18962152,25311,0.016370951
128,512,512,atlas,31528152,41021,0.023530216
128,512,1024,atlas,56660152,72498,0.031698710
128,512,2048,atlas,106924129,135218,0.052607282
128,512,4096,atlas,207452125,261289,0.078803311
128,1024,4,atlas,13067880,18047,0.013012913
128,1024,8,atlas,13464920,18645,0.007806195
128,1024,32,atlas,15822643,21611,0.006152907
128,1024,64,atlas,18966175,25467,0.016621934
128,1024,128,atlas,25253280,33063,0.020734292
128,1024,256,atlas,37811152,48779,0.024238276
128,1024,512,atlas,62943152,80598,0.039262590
128,1024,1024,atlas,113207129,143417,0.047997698
128,1024,2048,atlas,213735125,270094,0.084592289
128,1024,4096,atlas,414791117,520758,0.153838336
128,2048,4,atlas,26030683,34322,0.011620033
128,2048,8,atlas,26816296,34982,0.021289406
128,2048,32,atlas,31530143,40874,0.021631501
128,2048,64,atlas,37815194,48731,0.023262955
128,2048,128,atlas,50385295,64394,0.035709067
128,2048,256,atlas,75509152,96041,0.037577912
128,2048,512,atlas,125773148,158804,0.057587161
128,2048,1024,atlas,226301148,286486,0.091019622
128,2048,2048,atlas,427357140,536532,0.160386372
128,2048,4096,atlas,829469124,1040223,0.287885750
128,4096,4,atlas,51948040,67076,0.033538628
128,4096,8,atlas,53519103,68325,0.034588300
128,4096,32,atlas,62945124,80162,0.039352570
128,4096,64,atlas,75513198,96431,0.038294156
128,4096,128,atlas,100649291,127247,0.050176542
128,4096,256,atlas,150905129,190271,0.066086823
128,4096,512,atlas,251433148,316335,0.095600277
128,4096,1024,atlas,452489112,567999,0.160730241
128,4096,2048,atlas,854601115,1072657,0.300543450
128,4096,4096,atlas,1658825084,2079649,0.563272783
256,4,4,atlas,212057,1880,0.004262377
