M,K,N,Command,Elapsed Time
6600,6600,6600,pthread_blis,190766339
6700,6700,6700,blis,35412741
6700,6700,6700,para_blis,12658661
6700,6700,6700,atlas,36397850
6700,6700,6700,pthread_blis,199467737
6800,6800,6800,blis,37038488
6800,6800,6800,para_blis,12717664
6800,6800,6800,atlas,37306147
6800,6800,6800,pthread_blis,207366018
6900,6900,6900,blis,38550154
6900,6900,6900,para_blis,13216780
6900,6900,6900,atlas,39242884
6900,6900,6900,pthread_blis,220900344
7000,7000,7000,blis,40527886
7000,7000,7000,para_blis,14400753
7000,7000,7000,atlas,40674791
7000,7000,7000,pthread_blis,254142391
7100,7100,7100,blis,42148928
7100,7100,7100,para_blis,14580156
7100,7100,7100,atlas,43324849
7100,7100,7100,pthread_blis,268597580
7200,7200,7200,blis,43953346
7200,7200,7200,para_blis,15414101
7200,7200,7200,atlas,44367861
7200,7200,7200,pthread_blis,287741812
7300,7300,7300,blis,45795995
7300,7300,7300,para_blis,15858551
7300,7300,7300,atlas,46495078
7300,7300,7300,pthread_blis,285692258
7400,7400,7400,blis,47804553
7400,7400,7400,para_blis,16203369
7400,7400,7400,atlas,48118334
7400,7400,7400,pthread_blis,299998210
7500,7500,7500,blis,49673016
7500,7500,7500,para_blis,17004920
7500,7500,7500,atlas,50963551
7500,7500,7500,pthread_blis,316246374
7600,7600,7600,blis,51867663
7600,7600,7600,para_blis,17641178
7600,7600,7600,atlas,52086031
7600,7600,7600,pthread_blis,326621675
7700,7700,7700,blis,53898398
7700,7700,7700,para_blis,18596556
7700,7700,7700,atlas,54613905
7700,7700,7700,pthread_blis,335947399
7800,7800,7800,blis,55987705
7800,7800,7800,para_blis,19396649
7800,7800,7800,atlas,56295494
7800,7800,7800,pthread_blis,344937101
7900,7900,7900,blis,58198700
7900,7900,7900,para_blis,19593374
7900,7900,7900,atlas,59623744
7900,7900,7900,pthread_blis,356310248
8000,8000,8000,blis,60476087
8000,8000,8000,para_blis,21009026
8000,8000,8000,atlas,60739129
8000,8000,8000,pthread_blis,384015397
8100,8100,8100,blis,63049284
8100,8100,8100,para_blis,22057622
8100,8100,8100,atlas,63508664
8100,8100,8100,pthread_blis,393775567
8200,8200,8200,blis,67553423
8200,8200,8200,para_blis,25416119
8200,8200,8200,atlas,66042971
8200,8200,8200,pthread_blis,449077262
8300,8300,8300,blis,67799628
8300,8300,8300,para_blis,23765334
8300,8300,8300,atlas,69096467
8300,8300,8300,pthread_blis,425456698
8400,8400,8400,blis,69851668
8400,8400,8400,para_blis,23909002
8400,8400,8400,atlas,70402783
8400,8400,8400,pthread_blis,436869947
8500,8500,8500,blis,72381472
8500,8500,8500,para_blis,24830975
8500,8500,8500,atlas,73143303
8500,8500,8500,pthread_blis,441868277
8600,8600,8600,blis,75136799
8600,8600,8600,para_blis,25443266
8600,8600,8600,atlas,75459777
8600,8600,8600,pthread_blis,467107897
8700,8700,8700,blis,77504002
8700,8700,8700,para_blis,26736762
