M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,100,256,pthread_blis,27515713,79590,44535,5596,0.009874144
32,100,256,para_blis,46844738,66489,12890,11621,0.015704174
32,100,275,blis,3827991,13605,7681,<not,0.001970647
32,100,275,pool_blis,30842888,827635,773706,30744,0.035873256
32,100,275,pthread_blis,29484641,84216,45806,11728,0.010284551
32,100,275,para_blis,48459105,66269,11561,4008,0.016478152
32,100,300,blis,4121518,14116,7599,<not,0.002067484
32,100,300,pool_blis,34451114,909295,858275,42643,0.039881843
32,100,300,pthread_blis,31829614,90128,50058,6150,0.010939283
32,100,300,para_blis,51353740,70496,11141,3079,0.018047427
32,100,350,blis,4699244,15534,8011,<not,0.002279716
32,100,350,pool_blis,39877777,1077292,1020286,36413,0.045753500
32,100,350,pthread_blis,36443734,100768,55266,6516,0.012459538
32,100,350,para_blis,56874388,80148,11178,3413,0.019699779
32,100,400,blis,5279809,16771,7870,<not,0.002449317
32,100,400,pool_blis,42516116,1213556,1139486,64840,0.052764259
32,100,400,pthread_blis,41084478,111435,60056,17736,0.014373772
32,100,400,para_blis,62956292,94952,11610,3387,0.022486756
32,128,32,blis,1125088,7088,5672,<not,0.001158627
32,128,32,pool_blis,8383356,207747,201328,6103,0.010160467
32,128,32,pthread_blis,7886722,31648,24433,8856,0.003905346
32,128,32,para_blis,11620605,19612,4911,1580,0.004925856
32,128,64,blis,1605783,8297,5803,<not,0.001351747
32,128,64,pool_blis,12005359,353342,339606,7404,0.015598992
32,128,64,pthread_blis,11732783,40881,27425,557,0.004747588
32,128,64,para_blis,17313766,27673,4898,457,0.006877833
32,128,100,blis,2173426,9744,6271,<not,0.001435195
32,128,100,pool_blis,17779870,457745,435136,11738,0.020050416
32,128,100,pthread_blis,16264203,52171,31444,613,0.006180097
32,128,100,para_blis,23718609,36353,4965,619,0.008759752
32,128,128,blis,2567325,10535,6581,<not,0.001688947
32,128,128,pool_blis,21972665,577236,556551,12180,0.025767712
32,128,128,pthread_blis,19417833,58240,35150,5413,0.007195125
32,128,128,para_blis,60791056,156184,91784,119725,0.014173256
32,128,150,blis,2909049,11510,6997,<not,0.001730134
32,128,150,pool_blis,22287051,645259,597492,22905,0.028493498
32,128,150,pthread_blis,22146340,65023,36575,3030,0.007769594
32,128,150,para_blis,51820306,165825,98972,127163,0.016160716
32,128,170,blis,3227794,12213,6810,<not,0.001879845
32,128,170,pool_blis,25968188,720453,659092,19830,0.030805009
32,128,170,pthread_blis,24694681,70194,38827,3729,0.008894533
32,128,170,para_blis,96473182,185717,111328,150718,0.017937518
32,128,200,blis,3649005,13221,7225,<not,0.001935828
32,128,200,pool_blis,30035719,801252,741248,26194,0.035321394
32,128,200,pthread_blis,28060641,76597,41800,1775,0.009791165
32,128,200,para_blis,73883368,129187,56813,87559,0.018893188
32,128,220,blis,3975894,13957,7445,<not,0.002059797
32,128,220,pool_blis,32519128,858917,796617,29851,0.037219162
32,128,220,pthread_blis,30673925,83690,44229,7602,0.010661389
32,128,220,para_blis,49404977,90119,16942,31058,0.018085094
32,128,256,blis,4490271,15169,7602,<not,0.002179765
32,128,256,pool_blis,39116498,1025050,969400,47355,0.045439508
32,128,256,pthread_blis,34787221,92930,49665,12922,0.012230439
32,128,256,para_blis,56388105,79756,12065,6958,0.019622216
32,128,275,blis,4803652,15842,7984,<not,0.002346401
32,128,275,pool_blis,40806026,1104176,1043228,61973,0.048284039
32,128,275,pthread_blis,37290145,98203,51063,10053,0.012988287
32,128,275,para_blis,57188191,82226,11346,3726,0.020827065
32,128,300,blis,5177733,16694,8333,<not,0.002517946
32,128,300,pool_blis,44462781,1168589,1101059,54730,0.051113862
32,128,300,pthread_blis,40278638,105856,54394,13177,0.013727689
32,128,300,para_blis,61678291,88544,11295,3615,0.022013893
32,128,350,blis,5913604,18535,8386,<not,0.002730419
32,128,350,pool_blis,49273379,1284410,1211252,75812,0.056763574
32,128,350,pthread_blis,46161526,118482,60468,13463,0.015808817
32,128,350,para_blis,70735284,106124,11328,3697,0.025469064
32,128,400,blis,6653100,20145,8837,<not,0.003075452
32,128,400,pool_blis,57665334,1498602,1458917,89761,0.067433652
32,128,400,pthread_blis,52073988,130873,67086,21103,0.017736642
32,128,400,para_blis,79780186,112824,5230,3459,0.028404006
32,150,32,blis,1270440,7174,5767,<not,0.001176052
32,150,32,pool_blis,9737843,257237,248541,4406,0.011913771
32,150,32,pthread_blis,9049315,34288,25237,773,0.004202465
32,150,32,para_blis,13577595,22364,4764,409,0.005506652
32,150,64,blis,1832312,8555,6090,<not,0.001332596
32,150,64,pool_blis,14135326,409255,395380,6462,0.017902480
32,150,64,pthread_blis,13543831,43977,28752,8287,0.005361627
32,150,64,para_blis,20249307,31616,4909,540,0.007770012
32,150,100,blis,2495592,10318,6385,<not,0.001561514
32,150,100,pool_blis,21779945,523288,515905,13878,0.023688530
32,150,100,pthread_blis,18841982,56501,32375,292,0.006856988
32,150,100,para_blis,27754939,41848,5089,717,0.010400368
32,150,128,blis,2956328,10954,6909,<not,0.001710112
32,150,128,pool_blis,24891027,673969,644394,14510,0.029154232
32,150,128,pthread_blis,22526844,63069,36900,4365,0.008268680
